0.1,S,2
0.1,S,3
0.1,S,1
0.3,S,7
0.2,S,6
0.2,S,2
0.3,S,3
0.2,S,5
0.3,S,5
0.1,S,1
0.3,S,6
0.3,S,5
0.3,S,2
0.3,S,4
0.1,S,2
0.2,S,5
0.3,S,5
0.1,S,6
0.2,S,4
0.1,S,3
0.1,S,6
0.3,S,6
0.3,S,2
0.1,S,2
0.3,M,1
0.1,M,5
0.2,M,7
0.3,M,7
0.2,M,6
0.2,M,4
0.1,M,4
0.2,M,5
0.2,M,2
0.1,S,3
0.1,S,3
0.3,S,7
0.3,M,5
0.3,M,7
0.3,M,4
0.1,M,2
0.2,M,5
0.3,M,2
0.1,M,3
0.2,M,3
0.2,M,5
0.3,M,4
0.2,M,7
0.2,M,7
0.3,M,3
0.3,M,6
0.1,M,6
0.3,M,2
0.3,S,1
0.1,S,6
0.2,S,3
0.2,S,3
0.3,S,3
0.3,S,7
0.3,M,1
0.1,M,6
0.3,M,3
0.2,M,1
0.2,M,7
0.3,M,6
0.2,M,4
0.3,M,6
0.2,M,7
0.2,M,3
0.3,L,1
0.1,L,7
0.1,L,3
0.3,L,1
0.1,L,3
0.2,L,1
0.1,L,4
0.3,L,3
0.2,L,2
0.3,L,3
0.1,L,1
0.2,L,7
0.3,L,6
0.2,L,1
0.1,L,7
0.3,L,5
0.1,L,7
0.2,L,2
0.1,L,3
0.3,L,4
0.1,L,4
0.3,L,3
0.1,L,5
0.2,L,5
0.2,L,5
0.2,L,4
0.3,L,2
0.1,L,2
0.1,L,5
0.1,L,2
0.3,L,3
3,B,1
